nome_geografico,categoria,classe,uf,latitude,longitude
Acioli,LOC,Vila,ES,-196.562,-404.637
Aeródromo Alvino Covre,TRA,Pista_Ponto_Pouso,ES,-184.613,-401.808
Aeródromo Baixo Guandu - Aimorés,TRA,Pista_Ponto_Pouso,ES,-194.995,-410.362
Aeródromo Cachoeiro de Itapemirim,TRA,Pista_Ponto_Pouso,ES,-208.296,-411.818
Aeródromo Colatina,TRA,Pista_Ponto_Pouso,ES,-194.908,-405.736
Aeródromo Eurico de Aguiar Salles,TRA,Pista_Ponto_Pouso,ES,-20.25,-402.815
Aeródromo Fazenda XV de Outubro,TRA,Pista_Ponto_Pouso,ES,-194.624,-406.677
Aeródromo Guarapari,TRA,Pista_Ponto_Pouso,ES,-206.421,-404.879
Aeródromo João Monteiro,TRA,Pista_Ponto_Pouso,ES,-204.192,-403.307
Aeródromo Municipal de Linhares,TRA,Pista_Ponto_Pouso,ES,-193.605,-400.736
Aeródromo Primo Bitti,TRA,Pista_Ponto_Pouso,ES,-198.211,-400.965
Aeródromo São Mateus,TRA,Pista_Ponto_Pouso,ES,-18.725,-398.396
Afonso Cláudio,LOC,Area_Edificada,ES,-200.772,-41.123
Afonso Claúdio,LOC,Cidade,ES,-200.778,-411.249
Aghá,LOC,Area_Edificada,ES,-208.596,-40.756
Aghá,LOC,Vila,ES,-208.603,-407.567
Agropecuária Queimados,ECO,Edif_Agropec_Ext_Vegetal_Pesca,ES,-201.902,-403.783
Agrovila do PA Córrego da Lage,LOC,Aglomerado_Rural_Isolado,ES,-180.296,-406.386
Agrovila do PA Córrego da Lage,LOC,Area_Edificada,ES,-180.297,-406.381
Agrovila do PA Floresta,LOC,Aglomerado_Rural_Isolado,ES,-206.882,-415.803
Agrovila do PA Floresta,LOC,Area_Edificada,ES,-206.881,-415.805
Agrovila do PA Miragem,LOC,Area_Edificada,ES,-184.277,-407.878
Agrovila do PA Miragem,LOC,Aglomerado_Rural_Isolado,ES,-184.273,-407.882
Agrovila do PA Nova Esperança,LOC,Aglomerado_Rural_Isolado,ES,-196.467,-400.622
Agrovila do PA Nova Esperança,LOC,Area_Edificada,ES,-196.476,-400.625
Água Boa,LOC,Area_Urbana_Isolada,ES,-179.819,-403.971
Água Boa,LOC,Area_Edificada,ES,-179.814,-403.971
Água Doce do Norte,LOC,Cidade,ES,-185.482,-409.798
Água Doce do Norte,LOC,Area_Edificada,ES,-185.481,-409.798
Água Limpa,LOC,Area_Urbana_Isolada,ES,-189.333,-399.736
Água Limpa,LOC,Area_Edificada,ES,-189.341,-399.731
Água Limpa,LOC,Aglomerado_Rural_Isolado,ES,-188.682,-406.713
Água Preta,LOC,Aglomerado_Rural_Isolado,ES,-18.253,-39.892
Águas Claras,LOC,Vila,ES,-188.941,-408.209
Águia Branca,LOC,Cidade,ES,-18.985,-407.399
Águia Branca,LOC,Area_Edificada,ES,-189.857,-407.396
Airituba,LOC,Vila,ES,-209.452,-416.882
Airituba,LOC,Area_Edificada,ES,-209.444,-416.885
Alcon,ENC,Termeletrica,ES,-184.567,-399.471
Alcon,ENC,Est_Gerad_Energia_Eletrica,ES,-184.567,-399.471
Aldeia Indígena Comboios,LOC,Aglomerado_Rural_Isolado,ES,-197.452,-400.096
Aldeia Indígena de Caieiras Velha,LOC,Aglomerado_Rural_Isolado,ES,-199.202,-401.753
Aldeia Indígena Irajá,LOC,Aglomerado_Rural_Isolado,ES,-19.902,-402.231
Aldeia Indígena Pau Brasil,LOC,Aglomerado_Rural_Isolado,ES,-198.524,-401.311
Alegre,LOC,Cidade,ES,-207.636,-415.352
Alegre,LOC,Area_Edificada,ES,-207.637,-415.351
Alfredo Chaves,LOC,Cidade,ES,-20.638,-407.488
Alfredo Chaves,LOC,Area_Edificada,ES,-206.375,-407.488
Alta São Vicente,LOC,Aglomerado_Rural_Isolado,ES,-208.247,-409.366
Alto Calçado,LOC,Area_Edificada,ES,-20.946,-416.208
Alto Calçado,LOC,Vila,ES,-20.946,-416.211
Alto Caldeirão,LOC,Vila,ES,-199.556,-407.414
Alto Castelinho,LOC,Area_Edificada,ES,-20.521,-409.859
Alto Castelinho,LOC,Vila,ES,-20.521,-409.858
Alto Caxixe,LOC,Vila,ES,-204.081,-410.819
Alto Caxixe,LOC,Area_Edificada,ES,-20.406,-410.813
Alto Corumbá,ECO,Ext_Mineral,ES,-205.449,-411.404
Alto Gironda,ECO,Ext_Mineral,ES,-207.174,-410.963
Alto Gironda,ECO,Ext_Mineral,ES,-207.085,-410.835
Alto Itaoca,ECO,Ext_Mineral,ES,-207.362,-411.133
Alto Jatibocas,LOC,Area_Urbana_Isolada,ES,-20,-408.912
Alto Jetibá,LOC,Aglomerado_Rural_Isolado,ES,-201.411,-407.261
Alto Moledo,ECO,Ext_Mineral,ES,-207.574,-411.098
Alto Muniz,LOC,Aglomerado_Rural_Isolado,ES,-189.084,-407.038
Alto Mutum Preto,LOC,Vila,ES,-192.703,-409.096
Alto Norte,LOC,Vila,ES,-202.405,-414.032
Alto Paraju,LOC,Aglomerado_Rural_Isolado,ES,-203.272,-408.532
Alto Pongal,LOC,Vila,ES,-207.285,-407.778
Alto Pongal,LOC,Area_Edificada,ES,-207.266,-40.779
Alto Rio Novo,LOC,Area_Edificada,ES,-190.585,-410.186
Alto Rio Novo,LOC,Cidade,ES,-19.058,-410.183
Alto Rio Possmoser,LOC,Area_Urbana_Isolada,ES,-200.672,-408.406
Alto Rio Possmoser,LOC,Area_Edificada,ES,-200.671,-408.403
Alto Santa Maria,LOC,Vila,ES,-19.896,-407.629
Alto Santa Maria,LOC,Area_Urbana_Isolada,ES,-201.125,-408.321
Alto Santa Maria,LOC,Area_Edificada,ES,-198.965,-407.621
Alto SãoJosé,LOC,Area_Urbana_Isolada,ES,-208.897,-41.205
Alto São Sebastião,LOC,Aglomerado_Rural_Isolado,ES,-200.186,-40.79
Alto Silveira,LOC,Aglomerado_Rural_Isolado,ES,-20.203,-413.878
Alto Tijuco Preto - Fazenda Retz,LOC,Aglomerado_Rural_Isolado,ES,-202.189,-409.423
Alto Toledo,ECO,Ext_Mineral,ES,-207.312,-411.204
Amarelos,LOC,Aglomerado_Rural_Isolado,ES,-205.209,-404.817
Anchieta,LOC,Area_Edificada,ES,-20.811,-40.635
Anchieta,LOC,Cidade,ES,-208.071,-406.412
Ângelo Frechiani,LOC,Vila,ES,-193.103,-406.861
Anutiba,LOC,Area_Edificada,ES,-206.095,-414.524
Anutiba,LOC,Vila,ES,-206.101,-414.517
Aparecida,LOC,Aglomerado_Rural_Isolado,ES,-204.512,-406.899
Apiacá,LOC,Cidade,ES,-211.546,-415.666
Apiacá,LOC,Area_Edificada,ES,-211.556,-41.568
Araçatiba,LOC,Area_Edificada,ES,-204.626,-404.889
Araçatiba,LOC,Vila,ES,-204.624,-404.889
